المعرف,الاسم,"العلامة الإزامية(نسبة إكمال البيانات)","العلامة الإجمالية(نسبة إكمال البيانات)","معتمدة بتاريخ","معتمدة من قبل المديرية بتاريخ","معتمدة من قبل الوزارة بتاريخ","المعرف(الشكل القانوني)","الاسم(الشكل القانوني)","مستخدم المديرية المعتمد","مستخدم الوزارة المعتمد",المعرف(المحافظة),الاسم(المحافظة)
311,"رابطة طلاب عمان",73,76,,,,5,رابطة,,,1,دمشق,
312,"انعاش قرية المشتاية",57,55,,,,3,جمعية,,,9,حمص,
313,"موظفي التبغ",57,55,,,,3,جمعية,,,11,اللاذقية,
314,"خالد بن الوليد",57,55,,,,3,جمعية,,,9,حمص,
315,"توجيه الناشئة",57,55,,,,3,جمعية,,,11,اللاذقية,
316,"جمعية كفرام الخيرية الأصلاحية",57,55,,,,3,جمعية,,,9,حمص,
317,"القديس جاورجيوس الخيرية بعرنة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
318,"الخيرية الفلسطينية",57,55,,,,3,جمعية,,,2,حلب,
319,"رابطة الطلبة اللبنانيين",73,76,,,,5,رابطة,,,1,دمشق,
320,"نهضة قرية مارضومط",73,76,,,,3,جمعية,,,1,دمشق,
321,"الخيرية في سراقب",57,55,,,,3,جمعية,,,10,إدلب,
322,"رعاية الاحداث الجانحين",73,76,,,,3,جمعية,,,4,الرقة,
323,"رابطة طلبة البحرين",73,76,,,,5,رابطة,,,1,دمشق,
324,"خولة بنت الازور",73,76,,,,3,جمعية,,,1,دمشق,
325,"التضامنية الاجتماعية",73,76,,,,3,جمعية,,,1,دمشق,
326,"حماية الأحداث- إدلب",57,55,,,,3,جمعية,,,10,إدلب,
327,"التعاونية السياحية بالحسكة",29,33,,,,3,جمعية,,,3,الحسكة,
328,"رعاية المسجونين و أسرهم بحلب",57,55,,,,3,جمعية,,,2,حلب,
329,"رعاية اسر مجاهدي وشهداء فلسطين",73,76,,,,3,جمعية,,,1,دمشق,
330,"رعاية المسجونين واسرهم باللاذقية",57,55,,,,3,جمعية,,,11,اللاذقية,
331,"دار الفتاة اليتيمة بحلب",57,55,,,,3,جمعية,,,2,حلب,
332,"رعاية الإعاقة السمعية",57,55,,,,3,جمعية,,,11,اللاذقية,
333,"علوم الحياة",73,76,,,,3,جمعية,,,1,دمشق,
334,"الصداقة العربية السوفييتية",73,76,,,,3,جمعية,,,1,دمشق,
335,"نادي دار الفنون",57,55,,,,4,نادي,,,9,حمص,
336,"النداء الفلسطيني",73,76,,,,3,جمعية,,,1,دمشق,
337,"رابطة الطلاب السودانيين",73,76,,,,5,رابطة,,,1,دمشق,
338,"نادي عمال كهرباء حمص",57,55,,,,4,نادي,,,9,حمص,
339,"الاتحاد الوطني لطلبة موريتانيا",73,76,,,,2,اتحاد,,,1,دمشق,
340,"الرعاية الاجتماعية",57,55,,,,3,جمعية,,,2,حلب,
341,"الخيرية لقرية دير بعلبة",57,55,,,,3,جمعية,,,9,حمص,
342,"نور الخيرية الإصلاحية",57,55,,,,3,جمعية,,,9,حمص,
343,"نادي عم كهرباء حمص",57,55,,,,4,نادي,,,9,حمص,
344,"البر والخدمات الاجتماعية في دركوش",57,55,,,,3,جمعية,,,10,إدلب,
345,"البر والإحسان في الزبداني",73,76,,,,3,جمعية,,,13,"ريف دمشق",
346,"الصداقة العربية الالمانية",73,76,,,,3,جمعية,,,1,دمشق,
347,"السورية للمولدين النسائيين",73,76,,,,3,جمعية,,,1,دمشق,
348,"الخيرية الكاثوليكية",57,55,,,,3,جمعية,,,11,اللاذقية,
349,"الرعاية الاجتماعية",57,55,,,,3,جمعية,,,2,حلب,
350,"الخيرية للسريان الكاثوليك",57,55,,,,3,جمعية,,,8,حماة,
351,"حماية الأحداث بحمص",57,55,,,,3,جمعية,,,9,حمص,
352,"السورية لمكافحة السل بحلب",57,55,,,,3,جمعية,,,2,حلب,
353,"العربية السورية لطب الجلد",73,76,,,,3,جمعية,,,1,دمشق,
354,"شعراء الزجل",73,76,,,,3,جمعية,,,1,دمشق,
355,"ابي العلاء المعري الثقافية",73,76,,,,3,جمعية,,,1,دمشق,
356,"الاتحاد العام لطلبة اريتريا",73,76,,,,2,اتحاد,,,1,دمشق,
357,"النهضة بتلكلخ",57,55,,,,1,مؤسسة,,,9,حمص,
358,"باب السباع",57,55,,,,3,جمعية,,,9,حمص,
359,"التاريخية بحمص",57,55,,,,1,مؤسسة,,,9,حمص,
360,"انعاش الفقير الخيرية في التل",73,76,,,,3,جمعية,,,13,"ريف دمشق",
361,"نادي السينما",57,55,,,,4,نادي,,,2,حلب,
362,"دار التربية الثقافية في حلب",57,55,,,,3,جمعية,,,2,حلب,
363,"الطبية لأصحاب المستشفيات الخاصة",73,76,,,,3,جمعية,,,1,دمشق,
364,"الجمعية التعاونية للتوفير والخدمات الاجتماعية لشاغلي سوق الخجة",73,76,,,,3,جمعية,,,1,دمشق,
365,"الخيرية في منين",73,76,,,,3,جمعية,,,13,"ريف دمشق",
366,"نور الهدى الأرثوذوكسية بحماة",57,57,,,,3,جمعية,,,8,حماة,
367,"الخيرية العمومية الأرمنية بالقامشلي",29,33,,,,3,جمعية,,,3,الحسكة,
368,"اتحاد جمعيات رعاية المسجونين",73,76,,,,2,اتحاد,,,1,دمشق,
369,"نادي السينما",57,55,,,,4,نادي,,,2,حلب,
370,"اتحاد الطلاب الافارقة",73,76,,,,2,اتحاد,,,1,دمشق,
371,"الخيرية بمسرابا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
372,"المشافي الخاصة",57,55,,,,3,جمعية,,,2,حلب,
373,"المكتبات والوثائق",73,76,,,,3,جمعية,,,1,دمشق,
374,"السورية للجراحة العظمية",73,76,,,,3,جمعية,,,1,دمشق,
375,"الجعفرية في طرطوس",100,86,,,,3,جمعية,,,14,طرطوس,
376,"انعاش قرية الكيمة",73,76,,,,3,جمعية,,,1,دمشق,
377,"السورية لجراحة الفم والفكين",73,76,,,,3,جمعية,,,1,دمشق,
378,"انعاش قرية الزويتينية",57,55,,,,3,جمعية,,,9,حمص,
379,"الخيرية الاجتماعية بالنبك",73,76,,,,3,جمعية,,,13,"ريف دمشق",
380,"انعاش قرية رباح",57,55,,,,3,جمعية,,,9,حمص,
381,"رابطة أصدقاء المغتربين",57,55,,,,5,رابطة,,,9,حمص,
382,"أنماء قرية عين التينة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
383,"السورية لداء السكري وامراض التغذية",73,76,,,,3,جمعية,,,1,دمشق,
384,"الخيرية لحي الميدان الوسطاني",73,76,,,,3,جمعية,,,1,دمشق,
385,"مار يوسف لانعاش الريف بحلب",57,55,,,,3,جمعية,,,2,حلب,
386,"رابطة الاخصائيين الاجتماعيين",73,76,,,,5,رابطة,,,1,دمشق,
387,"الثقافية العربية السوفييتية",73,76,,,,3,جمعية,,,1,دمشق,
388,"رعاية المكفوفين بدمشق",73,76,,,,3,جمعية,,,1,دمشق,
389,"أصدقاء المغتربين بحمص",57,55,,,,3,جمعية,,,9,حمص,
390,"جسرين الخيرية",83,80,,,,3,جمعية,,,13,"ريف دمشق",
391,"التعاونية للتوفير والخدمات الاجتماعية لشاغلي محلات شارع القوتلي بحمص",57,55,,,,3,جمعية,,,9,حمص,
392,"مسرح الغد الفنية",73,76,,,,3,جمعية,,,1,دمشق,
393,"الرعاية الصحية بالحواش",57,55,,,,3,جمعية,,,9,حمص,
394,"الخيرية لحماية المكفوفين  بحلب",57,55,,,,3,جمعية,,,2,حلب,
395,"تنظيم الاسرة السورية",73,76,,,,3,جمعية,,,1,دمشق,
396,"انعاش الريف في بلدة عمار الحصن",57,55,,,,3,جمعية,,,9,حمص,
397,"الجمعية الخيرية الإسلامية في داريا",100,86,,,,3,جمعية,,,13,"ريف دمشق",
398,"رابطة المنشدين",73,76,,,,5,رابطة,,,1,دمشق,
399,"رابطة المنشدين",73,76,,,,5,رابطة,,,1,دمشق,
400,"الخيرية الإسلامية الجعفرية في صافيتا",100,90,,,,3,جمعية,,,14,طرطوس,
401,"التعاونية للحمل والعتالة",57,55,,,,3,جمعية,,,2,حلب,
402,"المصرف المركزي التعاونية / التعاونية للادخار والتسليف",57,55,,,,3,جمعية,,,9,حمص,
403,العاديات,57,55,,,,3,جمعية,,,2,حلب,
404,"دار العلم والتربية في حماة",57,55,,,,3,جمعية,,,8,حماة,
405,"الرحيبة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
406,"ركن الدين الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
407,"حمورة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
408,"وقاية النباتات السورية",57,55,,,,3,جمعية,,,2,حلب,
409,"لسورية لتاريخ العلوم",57,55,,,,3,جمعية,,,2,حلب,
410,"السورية لجراحة المسالك البولية",73,76,,,,3,جمعية,,,1,دمشق,
411,"قرى الأطفال العربية السورية sos",90,84,,,,3,جمعية,,,1,دمشق,
412,"رابطة خريجي الميتم الإسلامي",57,55,,,,5,رابطة,,,9,حمص,
413,"رابطة الحقوقيين بحلب",63,61,,,,5,رابطة,,,2,حلب,
414,"البر والخدمات الاجتماعية",57,55,,,,3,جمعية,,,9,حمص,
415,"السورية للأطباء الممارسين للطب العام",73,76,,,,3,جمعية,,,1,دمشق,
416,"السورية لأمراض الهضم",73,76,,,,3,جمعية,,,1,دمشق,
417,"العباسيين الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
418,"القديس جاورجيوس في جديدة عرطوز",73,76,,,,3,جمعية,,,13,"ريف دمشق",
419,"الخيرية اليبرودية بدمشق",73,76,,,,3,جمعية,,,1,دمشق,
420,"اسرة الاخاء السورية",73,76,,,,3,جمعية,,,1,دمشق,
421,"السورية لمكافحة السرطان",73,76,,,,3,جمعية,,,1,دمشق,
422,"العلوم الزراعية والبيولوجية",73,76,,,,3,جمعية,,,1,دمشق,
423,"الخيرية الموسوية لدفن الموتى",73,76,,,,3,جمعية,,,1,دمشق,
424,"اصدقاء دمشق",73,76,,,,3,جمعية,,,1,دمشق,
425,"النادي السرياني الأرثوذكسي",57,57,,,,4,نادي,,,9,حمص,
426,"البر الخيرية بكفر بطنا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
427,"البر والإحسان الخيرية بجديدة عرطوز",73,76,,,,3,جمعية,,,13,"ريف دمشق",
428,"دار الحنان لرعاية العجزة والمسنين",52,53,,,,3,جمعية,,,,,
429,"البر والإحسان بمعضمية القلمون",73,76,,,,3,جمعية,,,13,"ريف دمشق",
430,"التعاون الخيرية",83,78,,,,3,جمعية,,,1,دمشق,
431,"الكوثر الخيرية بدمشق",73,76,,,,3,جمعية,,,1,دمشق,
432,"جبعدين الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
433,"السورية للطاقة الشمسية",57,55,,,,3,جمعية,,,2,حلب,
434,"العتيبة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
435,"أسرة الإخاء السورية بحلب",57,55,,,,3,جمعية,,,2,حلب,
436,"زملكا الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
437,"أسرة الاخاء السورية",83,80,,,,3,جمعية,,,1,دمشق,
438,"رابطة الأطباء البيطريين",57,55,,,,5,رابطة,,,2,حلب,
439,"نادي المهندسين",73,76,,,,4,نادي,,,1,دمشق,
440,"نادي مصفاة حمص",57,55,,,,4,نادي,,,9,حمص,
441,"الأطباء الجراحين",57,55,,,,3,جمعية,,,2,حلب,
442,"السورية لعلوم وتكنولوجية الاغذية",73,76,,,,3,جمعية,,,1,دمشق,
443,"الرابطة الهندسية للمساعدين في القطر العربي السوري",73,76,,,,5,رابطة,,,1,دمشق,
444,"جيرود الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
445,"جمعية النور الخيرية بحلب",100,94,"2023-10-12 11:10:08",,,3,جمعية,,,2,حلب,
446,"انعاش عين الباردة",57,55,,,,3,جمعية,,,9,حمص,
447,"إنعاش الريف بقرية الجويخات",57,55,,,,3,جمعية,,,9,حمص,
448,"البر والإحسان في جباتا الخشب",57,55,,,,3,جمعية,,,12,القنيطرة,
449,"اتحاد جمعيات نوادي السينما",73,76,,,,2,اتحاد,,,1,دمشق,
450,"البر والإحسان الخيرية في قرية خان ارنبة",67,63,"2023-10-05 18:52:49",,,3,جمعية,,,12,القنيطرة,
451,"الخيرية لأبناء لواء الاسكندرون باللاذقية",57,55,,,,3,جمعية,,,11,اللاذقية,
452,"الخيرية لحي كرم الشامي",57,55,,,,3,جمعية,,,9,حمص,
453,"المتقاعدين المدنيين",57,55,,,,3,جمعية,,,6,درعا,
454,"الجيل الجديد للثقافة والفنون",73,76,,,,3,جمعية,,,1,دمشق,
455,"الكونية السورية",73,76,,,,3,جمعية,,,1,دمشق,
456,"دمر الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
457,المحبة,73,76,,,,3,جمعية,,,1,دمشق,
458,"النادي السينمائي بطرطوس",73,76,,,,4,نادي,,,14,طرطوس,
459,"حرستا الخيرية",83,78,,,,3,جمعية,,,13,"ريف دمشق",
460,"مار ميخائيل",73,76,,,,3,جمعية,,,14,طرطوس,
461,"حماية الاسرة",73,76,,,,3,جمعية,,,1,دمشق,
462,"السورية للأبحاث وطب الفم الوقائي",90,82,,,,3,جمعية,,,1,دمشق,
463,"أبي ذر الغفاري",57,55,,,,3,جمعية,,,11,اللاذقية,
464,"المتقاعدين المدنيين",57,55,,,,3,جمعية,,,6,درعا,
465,"رعاية الصم والبكم بحمص",57,55,,,,3,جمعية,,,9,حمص,
466,"رعاية المساجين وأسرهم",100,86,,,,3,جمعية,,,14,طرطوس,
467,"نادي فن التصوير الضوئي",73,76,,,,4,نادي,,,1,دمشق,
468,"النادي السينمائي",73,76,,,,4,نادي,,,1,دمشق,
469,"رعاية الأطفال المصابين بالشلل الدماغي",73,76,,,,3,جمعية,,,1,دمشق,
470,"رعاية المسجونين بالحسكة",29,33,,,,3,جمعية,,,3,الحسكة,
471,"حي الأربعين بحمص",57,55,,,,3,جمعية,,,9,حمص,
472,"نادي الشهيد باسل الأسد لعمال شركة مصفاة بانياس",100,88,,,,4,نادي,,,14,طرطوس,
473,"العلمية السورية للمعلوماتية",73,76,,,,3,جمعية,,,1,دمشق,
474,"حماية الطفل",68,76,,,,3,جمعية,,,,,
475,"نادي النقابات المهنية",57,55,,,,4,نادي,,,11,اللاذقية,
476,"الرجاء لرعاية المعوقين وذوي الاعاقة",73,76,,,,3,جمعية,,,1,دمشق,
477,"السورية للمعوقين جسديا",52,55,,,,3,جمعية,,,,,
478,"دار الصناعة - ميتم سيد قريش",87,90,,,,3,جمعية,,,1,دمشق,
479,"خريجي المعاهد الزراعية",57,55,,,,3,جمعية,,,9,حمص,
480,"الخيرية لمساعدة المعوقين بالنبك",73,76,,,,3,جمعية,,,13,"ريف دمشق",
481,"الشهيد باسل الأسد لرعاية الأيتام والعجزة",73,76,,,,3,جمعية,,,14,طرطوس,
482,"البر والخدمات الاجتماعية",57,55,,,,3,جمعية,,,9,حمص,
483,"رعاية المكفوفين في اللاذقية",57,55,,,,3,جمعية,,,11,اللاذقية,
484,"السورية للعلوم النفسية والتربوية",73,76,,,,3,جمعية,,,1,دمشق,
485,"الباسل لإغاثة الأطفال المشوهين",73,76,,,,3,جمعية,,,1,دمشق,
486,"الاجتماعية لرفع المستوى الصحي بالباب",57,55,,,,3,جمعية,,,2,حلب,
487,"الرابطة السورية لخريجي المؤسسات السوفيتية والروسية",57,55,,,,5,رابطة,,,2,حلب,
488,"عمار بن ياسر الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
489,"المعهد الفني الموسيقي الخيري",73,76,,,,3,جمعية,,,1,دمشق,
490,"فرع جمعية الرجاء لرعاية المعوقين",73,76,,,,1,مؤسسة,,,4,الرقة,
491,البستان,57,55,,,,3,جمعية,,,11,اللاذقية,
492,"السورية للمعالجة الفيزيائية",73,76,,,,3,جمعية,,,1,دمشق,
493,"رابطة خريجي معهد الشهيد باسل الاسد",73,76,,,,5,رابطة,,,1,دمشق,
494,"القلمون الخيرية حفير الفوقا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
495,"أصدقاء حمص",57,55,,,,3,جمعية,,,9,حمص,
496,"جبرين للعتالة والنقل",57,55,,,,3,جمعية,,,2,حلب,
497,"صندوق العافية",57,55,,,,3,جمعية,,,2,حلب,
498,"البر والتعليم الإسلامي بقطنا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
499,"دور النعيم للأيتام في الزبداني",73,76,,,,3,جمعية,,,13,"ريف دمشق",
500,"القابون الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
501,"الامانة السورية للتنمية",73,76,,,,1,مؤسسة,,,1,دمشق,
502,"السورية للبيئة",73,76,,,,3,جمعية,,,1,دمشق,
503,"الامام النووي في الحارة",57,55,,,,1,مؤسسة,,,6,درعا,
504,"حماية البيئة",73,76,,,,3,جمعية,,,1,دمشق,
505,"حماية المستهلك",73,76,,,,3,جمعية,,,1,دمشق,
506,"الصنمين الخيرية",73,78,,,,3,جمعية,,,6,درعا,
507,"الخيرية لمحلة باب تدمر",57,55,,,,3,جمعية,,,9,حمص,
508,"اصدقاء البيئة",57,55,,,,3,جمعية,,,5,السويداء,
509,"الوفاق الخيرية بدير عطية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
510,"السورية لرواد الأعمال الشباب",73,76,,,,3,جمعية,,,1,دمشق,
